365地产家居,house365.com,天津市 腾讯云,,
中国制造网,made-in-china.com,江苏省南京市雨花台区 电信,公司地址不确定,
江苏网络电视台,jstv.com,江苏省南京市 电信,可用,
卡饭网,kafan.cn,江苏省盐城市 BGP多线,,
51Yes网站流量统计,51yes.com,加拿大  ,,
苏宁易购,suning.com,江苏省南京市 电信,公司地址不确定,
江苏苏宁足球俱乐部,fc.suning.com,湖北省十堰市 网宿科技股份有限公司电信CDN节点,,
米课,imiker.com,上海市 腾讯云,,
硕鼠官网,flvcd.com,山东省青岛市 阿里巴巴网络有限公司BGP数据中心,,
快吧游戏,kuai8.com,湖南省长沙市 电信IDC机房,,
阿莫电子论坛,amobbs.com,广东省东莞市 电信IDC机房,,
简道云,jiandaoyun.com,浙江省杭州市 阿里云,,
扇贝网,shanbay.com,浙江省杭州市 阿里云BGP数据中心,,
育儿网,ci123.com,江苏省南京市 电信,公司地址不确定,南京矽汇信息技术有限公司
西祠胡同,xici.net,江苏省南京市 电信,可用,南京西祠信息技术股份有限公司
东方医疗器械网,www.qxw18.com,江苏省泰州市 电信,,
极速网,8080.net,江苏省南京市 电信,可用,
南京理工大学,www.njust.edu.cn,江苏省南京市 南京理工大学教育网,,校址过多
建E室内设计网,justeasy.cn,广东省广州市 华为网络,,
途牛旅游网,tuniu.com,亚太地区  ,,
扬子晚报网,yangtse.com,中国  ,,
南京师范大学,www.njnu.edu.cn,江苏省南京市 南京师范大学,,校址过多
南京航空航天大学,nuaa.edu.cn,江苏省南京市 南京航空航天大学,,校址过多
东南大学,www.seu.edu.cn,北京市 CERNET数据中心VIP通道项目,,
吾爱源码,52codes.net,浙江省宁波市 百度云加速节点,,
南京农业大学,www.njau.edu.cn,江苏省南京市 电信,,校址过多
启程留学,qic.ac.cn,浙江省杭州市 阿里云,,
美篇,www.meipian.cn,北京市 阿里云,,
厚学网,houxue.com,北京市 北京百度网讯科技有限公司BGP节点,,
南京市网上房地产,njhouse.com.cn,江苏省苏州市 电信,,
国家公务员考试网,chinagwy.org,福建省福州市 BGP多线,,
南京邮电大学,www.njupt.edu.cn,江苏省南京市 南京邮电大学教育网,,校址过多
车城网,www.checheng.com,浙江省杭州市 阿里云,,
红薯中文网,hongshu.com,江苏省 电信,,
中国医药联盟,chinamsr.com,江苏省泰州市 电信,,
买个便宜货,mgpyh.com,浙江省杭州市 阿里云,,
南京医科大学,njmu.edu.cn,解析失败,,
wordpress主题,2zzt.com,浙江省宁波市 百度云加速节点,,
中国大数据,www.thebigdata.cn,浙江省杭州市 阿里云计算有限公司,,
外勤365官网,waiqin365.com,浙江省杭州市 阿里云BGP数据中心,,
美国神婆,meiguoshenpo.com,解析失败,,
江苏体彩网,js-lottery.com,江苏省镇江市 电信,,
猎头网,tuilie.com,浙江省杭州市 阿里云BGP数据中心,,
中国水产养殖网,shuichan.cc,浙江省杭州市 阿里云,,
高清时代网,hdtimes.cn,浙江省杭州市 阿里云,,
学科王,xuekewang.com,江苏省南京市 电信,公司地址不确定,江苏春雨教育集团有限公司
小蜜蜂网站监测,www.webxmf.com,江苏省南京市 联通,公司地址不确定,
金陵热线,jlonline.com,江苏省常州市 电信,,
苏宁,cnsuning.com,江苏省南京市 电信,公司地址不确定,
尚诚志,scz-bbs.com,浙江省杭州市 阿里云,,
中国南京,nanjing.gov.cn,江苏省泰州市 电信,,
南京住房公积金管理中心,gjj.nanjing.gov.cn,江苏省南京市秦淮区 电信,可用,南京市玄武区太平北路51号
图品汇,www.88tph.com,山东省青岛市 阿里云,,
YOHO.CN,yoho.cn,北京 腾讯云,,
新华报业网,xhby.net,江苏省 电信,,
素材火,www.sucaihuo.com,福建福州 电信 上海云盾,,
付融宝,frbao.com,江苏省南京市 电信,网址不可用,
江苏省卫生健康委员会,wjw.jiangsu.gov.cn,广东省云浮市 电信,,
中国江苏网,jschina.com.cn,江苏省 电信,,
畅途网,www.changtu.com,江苏省南京市 电信,可用,南京高新开发区星火路11号动漫大厦B座
FineReport报表官网,finereport.com,山东省青岛市 阿里云,,
酷匠网,kujiang.com,浙江省杭州市 阿里云BGP数据中心,,
龙虎网,longhoo.net,河南省郑州市 电信,,
7881游戏交易平台,7881.com,中国 阿里云Anycast节点,,
中华户外网,huway.com,浙江省杭州市 阿里云,,
南京信息工程大学,www.nuist.edu.cn,江苏省南京市 电信,校址过多,
南京工业大学教学事务部 ,jwc.njtech.edu.cn,解析失败,,
驾驶员考试网,jsyks.com,加拿大 巴里腾讯云,,
传众,czvv.com,上海市 电信IDC机房,,
装机之家,www.lotpc.com,广西南宁 百度云加速节点,,
114票务网,114piaowu.com,解析失败,,
江苏省教育考试院,jseea.cn,江苏省南京市 电信,可用,江苏省南京市北京西路15-2号
南京艺术学院,www.nua.edu.cn,江苏省南京市 南京艺术学院,校址过多,
YOHO有货,yohobuy.com,北京 腾讯云,,
南京网络问政,njbbs.gov.cn,解析失败,,
逐浪网,zhulang.com,湖北省黄冈市,,
爱钓网,aidiao.com,北京市大兴区 天地祥云BGP数据中心,,
东南大学附属中大医院,njzdyy.com,浙江省杭州市 阿里云,,
百姓健康网,jiankang.com,江苏省南京市 电信,公司地址不确定,南京百康网络科技有限公司
南京工程学院,www.njit.edu.cn,江苏省常州市 电信IDC机房,,
南京教育信息网,nje.cn,江苏省南京市鼓楼区 电信,公司地址不确定,
江苏人力资源和社会保障网,jshrss.gov.cn,江苏省南京市 电信,可用,
溧水114网,ls114.cn,上海市 腾讯云,,
南京鼓楼医院,njglyy.com,上海市 电信IDC机房(张东),,
我要个性网,woyaogexing.com,香港 深圳市腾讯计算机系统有限公司IDC机房(BGP),,
南报网,njdaily.cn,江苏省苏州市 百度云加速节点,,
中国国际航空公司,airchina.com,浙江省湖州市 电信,,
江苏银行官方网站,www.jsbchina.cn,陕西省西安市 电信,,
赛诚智慧,www.sc-edu.com,江苏省南京市 电信,可用,南京市玄武区珠江路222号长发科技大厦
中国药科大学,www.cpu.edu.cn,广东省广州市 珠江宽频,,
保险网购新一站,xyz.cn,江苏省南京市雨花台区 电信,公司地址不确定,
快递网,kuaidi.com,上海市 阿里云BGP数据中心,,
国家公务员网,gjgwy.net,浙江省杭州市 阿里巴巴网络有限公司BGP数据中心(BGP),,
江苏省工商行政管理局,jsgsj.gov.cn,江苏省南京市 电信,地址不确定,
好猎头网,www.haolietou.com,江苏省泰州市 电信,,
南京林业大学,www.njfu.edu.cn,江苏省南京市 南京林业大学,校址过多,
中国商务网,xunbiz.com,上海市 外高桥电信IDC机房,,
南京中医药大学,njutcm.edu.cn,解析失败,,
视客眼镜网,vsigo.cn,江苏省南京市 电信IDC机房,,
南京银行,njcb.com.cn,江苏省南京市 电信,公司地址不确定,
润和软件,hoperun.com,北京市 北京百度网讯科技有限公司BGP节点,,
华泰证券官网,htsc.com.cn,江苏省南京市 移动,地址过多,
江苏省科技厅,jstd.gov.cn,解析失败,,
江苏省道路客运综合信息服务网,jslw.gov.cn,江苏省南京市 电信,网页无法访问,
江苏省住房和城乡建设厅,jscin.gov.cn,江苏省南京市 电信,网页无法访问,
钢宝股份,www.gangbao365.com,江苏省南京市 电信,,公司地址位于江苏南通
WPYOU,wpyou.com,山东省青岛市 阿里巴巴网络有限公司BGP数据中心,,
英语学习频道,unsv.com,江苏省镇江市 电信,,
南京招生信息网,njzb.net,江苏省南京市 电信,网页无法访问,
紫枫信贷,zfxindai.cn,江苏省南京市 电信,公司地址不确定,
南京证券,njzq.com.cn,江苏省南京市 电信,可用,中国?南京市江东中路389号
江苏教师教育网,jste.net.cn,解析失败,,
南京教育,njedu.gov.cn,解析失败,,
南京康贝佳口腔,kangbeijia.com,河南省郑州市 景安BGP数据中心,,
U号租,www.uhaozu.com,中国 阿里云Anycast节点,,
沃游网,woyoo.com,江苏省镇江市 电信,,
网游网,5617.com,江苏省南京市 电信,网站维护不可访问,
天翼飞YOUNG,f-young.cn,解析失败,,
南京禄口国际机场,njiairport.com,江苏省南京市 电信,可用,
中国数据,www.com.top,福建省福州市 电信IDC机房,,
江苏省卫生和计划生育委员会,jswst.gov.cn,解析失败,,
AEPS电力系统自动化,aeps-info.com,北京市 网联光通,,
江苏省统计局,jssb.gov.cn,解析失败,,
南京市人力资源和社会保障网,njhrss.gov.cn,江苏省泰州市 电信,,
学习方法网,xuexifangfa.com,美国 加利福尼亚州圣安娜Krypt机房,,
故事大全,dy456.com,解析失败,,
微奇生活,vikilife.com,香港 特别行政区,,
博群E书吧,ebk8.com,美国 加利福尼亚州洛杉矶Cloudinnovation数据中心,,
一号家居网,yihaojiaju.com,浙江省杭州市 阿里云,,
外语爱好者,ryedu.net,香港特别行政区,,
南京住房公积金管理中心网上服务大厅,njgjj.com,广东省广州市 珠江宽频,,
南京军区南京总医院,njzy666.com,江苏省南京市 电信,可用,
苏交科,www.jsti.com,江苏省南京市鼓楼区 电信,公司地址不确定,苏交科集团股份有限公司
江苏招生考试,js-edu.cn,江苏省镇江市 电信,,
金陵科技学院,jit.edu.cn,解析失败,,
南京工商局,njgs.gov.cn,解析失败,,
江苏省地方税务局,jsds.gov.cn,解析失败,,
南京公安,njga.gov.cn,解析失败,,
果酱音乐,www.jammyfm.com,北京市 阿里云,,
江苏省通信管理局,www.jsca.gov.cn,解析失败,,
一号家居商城,yhjj.com,浙江省杭州市 阿里云,,
金陵中学,jlhs.net,河北省唐山市 电信,,
南京大学考研网,nandakaoyan.com,香港 阿里云,,
江苏省高校招生就业指导服务中心,91job.gov.cn,解析失败,,
都市圈圈,dsqq.cn,浙江省杭州市 阿里云,,
南京工业大学浦江学院,njpji.cn,江苏省 电信,,
视威科技,swit.cc,香港 阿里云,,
AO史密斯,aosmith.com.cn,江苏省南京市 联通,公司地址不确定,
德基广场,dejiplaza.com,江苏省南京市 联通,升级中无法访问,
365知识网,zhishi365.com,广东省广州市  百度BGP节点,,
长安马自达官网,changan-mazda.com.cn,浙江省温州市 电信,,
南京网络电视台,nbs.cn,江苏省南京市 电信,公司地址不确定,
江苏省广播电视总台集团,jsbc.com,湖北省孝感市 电信,,
中国国际展览中心集团公司,ciec-expo.com,北京市 鹏博士长城宽带,,
中国化工制造网,chemmade.com,江苏省南京市 电信,公司地址不确定,南京中至信网络科技有限公司
小鱼儿网,xiaoyuer.com,江苏省苏州市 电信,,
交管12123查询网,12123.com,上海市 阿里云,,
江苏法院网,jsfy.gov.cn,浙江省杭州市 阿里云BGP数据中心,,
南京报业网,njnews.cn,江苏省南京市 电信,公司地址不确定,江苏龙虎网信息科技股份有限公司
南京人才网,025.wlzp.vip,江苏省连云港市 电信,,
化石网,uua.cn,天津市 腾讯云,,
好好学习网,hhxx.com.cn,解析失败,,
南京市政府采购网,njgp.gov.cn,江苏省南京市 电信,可用,中国南京长江路66号
 WFilter（超级嗅探狗）官网,imfirewall.com,浙江省杭州市 阿里云BGP数据中心,,
OLO我乐厨柜官网,olokitchen.com,中国  ,,
轩轩特卖官网,xuanxuantemai.com,浙江省杭州市 阿里巴巴网络有限公司BGP数据中心(BGP),,
南京师范大学考研网,nanshikaoyan.com,香港 阿里云,,
南京市国家税务局,jsnj-n-tax.gov.cn,解析失败,,
南京交管在线,njjg.gov.cn,解析失败,,
南京奥体中心官网,njaoti.com,江苏省南京市 电信,可用,
金智教育,wisedu.com,广东省东莞市 电信,,
365易贷,365edai.cn,香港 腾讯云,,
江苏国信舜天足球俱乐部,jssaintyfc.com,美国 CloudFlare公司CDN节点,,
中舞网,dance365.com,浙江省杭州市 阿里云,,
财客在线记账网,caakee.com,上海市徐汇区 电信,,
卫岗天天订,4008618618.com,浙江省杭州市 阿里云,,
点米科技,www.dianmi365.com,广东省中山市 电信,,
南京理工大学泰州科技学院,nustti.edu.cn,江苏省泰州市?,,
应用之星,www.appstar.com.cn,上海市 阿里云BGP数据中心,,
江苏国土资源,www.jsmlr.gov.cn,解析失败,,
云创数据,cstor.cn,浙江省杭州市 阿里云,,
雨润集团,yurun.com,江苏省南京市 电信,可用,
生活南京,livnj.com,浙江省杭州市 阿里云,,
中国啦啦操官方网站,ccachina.org,新加坡 阿里云,,
中国长发网,chinalonghair.cn,香港  ,,
中国人民解放军理工大学,ust.com.cn,江苏省镇江市 电信,,
苏宁环球集团,suning.com.cn,江苏省南京市 电信,公司地址不确定,
南京市妇幼保健院,njfybjy.com,上海市 电信IDC机房(张东),,
江苏省水利厅,jswater.gov.cn,解析失败,,
一问百答,yiwenbaida.com,广东省广州市  百度BGP节点,,
暖通吧,hvac8.com,双云信息科技(上海)有限公司电信机房,,
WorkWin局域网监控管理软件,vipshare.com,中国  ,,
叮当,dingdone.com,中国  ,,
动漫东东,comicdd.com,浙江省杭州市 阿里云,,
江苏省文化厅,www.jscnt.gov.cn,解析失败,,
南京市人事考试网,njrsks.net,江苏省南京市,公司地址不确定,南京人才服务中心服务中心
凤凰教育网,fhedu.cn,江苏省苏州市 电信,,
中华人民共和国江苏海事局,js-msa.gov.cn,解析失败,,
东南大学考研网,dongdakaoyan.com,香港 阿里云,,
苏宁置业,suningestate.com,江苏省南京市 联通数据中心,,
江苏省发展和改革委员会,www.jsdpc.gov.cn,解析失败,,
宏图三胞,cnpcmall.com,上海市 腾讯云,,
南京教育信息网,njenet.net.cn,美国 加利福尼亚州洛杉矶市Coperation Coloction数据中心,,
南京外国语学校仙林分校,nflsxl.com,江苏省南京市 电信,可用,江苏省南京市仙林大学城仙林大道136号
金鹰国际集团,netge.com,江苏省南京市 电信,可用,南京金鹰国际集团有限公司
纳加软件,www.nagasoft.cn,浙江省杭州市 阿里云,,
南京国际展览中心,njiec.com,浙江省杭州市 阿里云计算有限公司,,
中国雕塑网,diaosu.cn,江苏省南京市 电信,公司地址不确定,
高淳招聘网,gcjob.gov.cn,解析失败,,
12580和生活,12580.com,江苏省 移动,,
VICTOR（威克多）官网,victorsport.com.cn,上海市 阿里云,,
中国招投标网,infobidding.com,浙江省杭州市 阿里云计算有限公司,,
国广联,www.gloriamedia.com,中国 中移铁通,,
南京市口腔医院,njkq.net,上海市 电信IDC机房(张东),,
南京博物院,njmuseum.com,江苏省南京市 电信,可用,
靖江论坛,jjbbs.com,江苏省镇江市 电信IDC数据中心,,
南京地铁,www.njmetro.com.cn,江苏省泰州市 电信,,
联创科技,lianchuang.com,江苏省南京市 电信,可用,南京联创科技集团股份有限公司
南京晓庄学院,njxzc.edu.cn,江苏省南京市 南京晓庄学院,可用,
南京城市职业学院,www.ncc.edu.cn,江苏省南京市 电信,可用,江苏省南京市溧水区梁山路1号
雪儿漫画,xemh.com,香港 阿里云,,
江苏体育局,www.jssports.gov.cn,解析失败,,
开鑫贷,gkkxd.com,浙江省杭州市 阿里云,,
黑帽网,cnblackhat.com,福建省福州市 电信,,
新小说吧,xxs8.com,北京市 UCloud,,
南京六合,njlh.gov.cn,江苏省泰州市 电信,,
南京师范大学泰州学院,nnutc.edu.cn,江苏省泰州市 电信,,
ICP备案查询网,beianchaxun.net,亚太地区  ,,
中国物联网,www.netofthings.cn,浙江省杭州市 阿里云计算有限公司,,
5A中国农业人才网,5ajob.com,北京市 北京万网志成科技有限公司,,
中国酒水招商网,js118.com.cn,广东省广州市 广州海钛信息技术有限公司,,
南京康辉旅行社,kanghui.cn,中国  ,,
中国水处理设备网,watere.cn,江苏省南京市 电信IDC机房,,
南京玄武区政府门户网站,xwzf.gov.cn,江苏省泰州市 电信,,
江宁教育信息网,jnedu.net.cn,解析失败,,
江苏质监信息网,jsqts.gov.cn,解析失败,,
江苏新闻周刊网,025ct.com,浙江省杭州市 阿里云BGP数据中心,,
南京市中医院,njszyy.cn,上海市 电信IDC机房(张东),,
江宁人才网,jnrc.gov.cn,解析失败,,
南京人才网,025zp.com,解析失败,,
说明书之家,mydigi.net,江苏省南京市 电信,公司地址不确定,
江苏安全生产网,www.jssafety.gov.cn,解析失败,,
壹进制,unary.com.cn,江苏省常州市 电信,,
中国纸业网,chinapaper.net,上海市 阿里云,,
奇法大陆,78land.com,江苏省镇江市 电信IDC数据中心,,
江苏城市职业学院,jscvc.cn,江苏省 广播电视大学,,
珠江路在线,zhujiangroad.com,广东省广州市 电信,,
靓妆频道官网,lzwg.com,浙江省杭州市 阿里云BGP数据中心,,
蛋七蛋舞,beat11.com,香港 特别行政区,,
乐百供采购网,lbgoo.com,江苏省南京市 电信,网站打不开,
建策科技,jiancenj.com,浙江省杭州市 阿里云,,
 昂立日语,onlyjp.cn,上海市 广电网,,
